Date,Open,High,Low,Close
01-01-2014,4758.75,4761.799805,4732.649902,4737.600098
02-01-2014,4734.950195,4808.399902,4648.950195,4665
03-01-2014,4638.200195,4674.600098,4621.700195,4664.100098
06-01-2014,4659.75,4659.75,4604.75,4628.350098
07-01-2014,4640.549805,4666.600098,4570.049805,4619.25
08-01-2014,4627.700195,4647.649902,4608.799805,4626.350098
09-01-2014,4629.799805,4634,4583.149902,4595.75
10-01-2014,4585.450195,4622.450195,4535.25,4541.299805
13-01-2014,4544.600098,4651.75,4544.600098,4634.649902
14-01-2014,4620.850098,4657.350098,4605.899902,4612.399902
15-01-2014,4627.549805,4703.399902,4624.25,4697.399902
16-01-2014,4716.5,4722.350098,4678.899902,4692.200195
17-01-2014,4681,4692.25,4606.450195,4612.950195
20-01-2014,4619.950195,4651.100098,4595.049805,4631.5
21-01-2014,4652.850098,4688.850098,4639.299805,4684.5
22-01-2014,4683.149902,4712.450195,4653.850098,4696.649902
23-01-2014,4682.700195,4725.600098,4668.350098,4714.049805
24-01-2014,4662.700195,4679.5,4633.5,4639.549805
27-01-2014,4573.149902,4573.149902,4480.450195,4489.100098
28-01-2014,4487.549805,4558,4435.100098,4483.899902
29-01-2014,4520.950195,4534.950195,4450.399902,4463.799805
30-01-2014,4399.75,4418.399902,4349.700195,4384.350098
31-01-2014,4395.450195,4410.350098,4358.899902,4385.649902
03-02-2014,4365.100098,4376.299805,4309.950195,4317.299805
04-02-2014,4271.450195,4363.450195,4259.399902,4342.350098
05-02-2014,4351.5,4361.700195,4307.549805,4355
06-02-2014,4371.649902,4395.899902,4304.850098,4353.649902
07-02-2014,4392.100098,4395.75,4330.799805,4368.25
10-02-2014,4376.700195,4384.450195,4322.350098,4331.100098
11-02-2014,4339.299805,4365.649902,4329.200195,4354.200195
12-02-2014,4378,4409.350098,4374.850098,4403.100098
13-02-2014,4398.399902,4411.25,4302.649902,4313.5
14-02-2014,4318.149902,4346.149902,4275.450195,4335.5
17-02-2014,4336.100098,4396.899902,4336.100098,4387.5
18-02-2014,4388.950195,4511.200195,4385.549805,4498.649902
19-02-2014,4489.049805,4522.399902,4468.950195,4512.549805
20-02-2014,4472.5,4482,4437.100098,4442.600098
21-02-2014,4443.799805,4505,4443.799805,4492.700195
24-02-2014,4476.200195,4547.799805,4461.799805,4541.100098
