Window,Timesteps,Model,MSE,RMSE,R-Squared,Aggregate Metrics,Data_Type
3,14,GRU,0.0012562857592963348,0.0354441216465627,0.9729284605299278,43.0621171828714,Continuous
3,14,LSTM,0.0034237093361662633,0.058512471629271166,0.9262229299805211,39.338865507694024,Discrete
3,14,SimpleRNN,0.0054197305833401386,0.07361881949162279,0.88321092608243,38.155564718798935,Discrete
3,14,GRU,0.0015873986169508082,0.03984217133830444,0.9657933523519426,42.02160900823698,Discrete
3,21,LSTM,0.001264339284242385,0.035557548906559704,0.9724123569764556,43.03194522452656,Continuous
3,21,SimpleRNN,0.001967756815948368,0.044359405045022504,0.957063920047332,41.1667325491653,Continuous
3,21,GRU,0.0024733466526541984,0.04973275231328142,0.9460320458461514,40.351168520500806,Continuous
3,21,LSTM,0.0027510833665724452,0.05245077088635061,0.939971883503968,40.00182286595867,Discrete
3,21,SimpleRNN,0.002485512257375671,0.04985491206867856,0.9457665946619603,40.33465688711437,Discrete
3,21,GRU,0.006030354514737005,0.07765535728291387,0.8684188099417696,37.91527680899226,Discrete
3,55,LSTM,0.002692420200177407,0.051888536307911085,0.9368439787434175,40.06964117972239,Continuous
3,55,SimpleRNN,0.0009009885128161964,0.030016470692208242,0.9788655390181641,44.764636048420805,Continuous
3,55,GRU,0.003022579847191221,0.05497799420851238,0.9290994336373096,39.70606505635244,Continuous
3,55,LSTM,0.020003626419283042,0.14143417698450061,0.5307755248375681,19.197379317603776,Discrete
3,55,SimpleRNN,0.015996823262805104,0.1264785486270502,0.6247629883489427,23.68121789062273,Discrete
3,55,GRU,0.0028767635014163295,0.053635468688325354,0.932519843361137,39.858966243410435,Discrete
5,3,LSTM,0.010743208815421687,0.1036494515924792,0.750304387423902,34.493422694650306,Continuous
5,3,SimpleRNN,0.001524727638098378,0.03904776098700639,0.9645620030153218,42.19140833620128,Continuous
5,3,GRU,0.0007497222556434866,0.027381056510724464,0.9825748190227757,45.83472501926608,Continuous
5,3,LSTM,0.09032116422525915,0.3005347970289949,-1.099260920763104,4.433247663793955,Discrete
5,3,SimpleRNN,0.00572440555713005,0.07565980146108005,0.8669523252522293,38.02800351145054,Discrete
5,3,GRU,0.023535953160965784,0.15341431863084287,0.45297309741819203,16.486485792942325,Discrete
5,5,LSTM,0.003314787717868642,0.0575741931586422,0.9228812490343428,39.43059141325434,Continuous
5,5,SimpleRNN,0.001427107296442301,0.03777707368818158,0.9667982563099482,42.4792932835919,Continuous
5,5,GRU,0.00444673363437812,0.06668383338094863,0.8965464539669783,38.630894979198914,Continuous
5,5,LSTM,0.0027329593766228623,0.052277713957506425,0.9364175230803156,40.02167582837193,Discrete
5,5,SimpleRNN,0.00395305648592338,0.06287333684419318,0.9080318848028318,38.93767505494451,Discrete
5,5,GRU,0.0016520854270463572,0.04064585374975358,0.961564125528889,41.85477319297753,Discrete
5,8,LSTM,0.0049048796213194586,0.07003484576494375,0.8858396417911975,38.388148695054916,Continuous
5,8,SimpleRNN,0.0008886871521787975,0.029810856280536417,0.9793159360757154,44.84138079249063,Continuous
5,8,GRU,0.0008371835202386742,0.028934123802850403,0.9805146756015098,45.180594143457434,Continuous
5,8,LSTM,0.012127348478117075,0.11012424110120839,0.717737731958366,30.752215367093807,Discrete
5,8,SimpleRNN,0.004841261220332247,0.06957917231709677,0.88732035080061,38.41981242485468,Discrete
5,8,GRU,0.001172588686838694,0.034243082320940296,0.972708169240434,43.39189558763973,Discrete
5,14,LSTM,0.0009308774832118278,0.030510284875953354,0.9782298323334023,44.584687590274626,Continuous
5,14,SimpleRNN,0.0012708515511069374,0.03564900491047313,0.9702789552374874,43.00718427567144,Continuous
5,14,GRU,0.0011500021913735086,0.03391168222565063,0.9731052249359662,43.487156120089615,Continuous
5,14,LSTM,0.04306235310386243,0.20751470575326084,-0.00708703787176046,9.344662907097284,Discrete
5,14,SimpleRNN,0.0050987257533915,0.07140536221735382,0.8807575470035579,38.2951026769954,Discrete
5,14,GRU,0.006589463811472588,0.0811755123881124,0.845894078870858,37.72162669027969,Discrete
5,21,LSTM,0.0012829140372679108,0.03581778939672172,0.9695897271070618,42.96289244417981,Continuous
5,21,SimpleRNN,0.0011254947296105043,0.03354839384546605,0.9733212040146447,43.59366917183514,Continuous
5,21,GRU,0.001105529778142287,0.033249507938348306,0.9737944544467124,43.683142503017834,Continuous
5,21,LSTM,0.0028053126144138023,0.05296520191988134,0.9335026980170846,39.937941144078486,Discrete
5,21,SimpleRNN,0.002776361286878625,0.052691187943323364,0.9341889620576843,39.97089815285587,Discrete
5,21,GRU,0.005265184801913154,0.07256159315997103,0.8751937370652586,38.21886301724593,Discrete
5,55,LSTM,0.0011317234335913742,0.0336410973898203,0.9711463383005734,43.56556423214877,Continuous
5,55,SimpleRNN,0.0021653371343116046,0.04653318315258053,0.9447940165554692,40.811611573263164,Continuous
5,55,GRU,0.006198626716821752,0.07873135790027853,0.8419639701895756,37.84779447102767,Continuous
5,55,LSTM,0.010574191906061148,0.102830889843768,0.7304074944935126,35.00832872860307,Discrete
5,55,SimpleRNN,0.014020023970332056,0.11840618214574801,0.6425548710482261,26.804871356992308,Discrete
5,55,GRU,0.0014004547741796897,0.03742265054989678,0.9642949442592194,42.562026451017935,Discrete
8,3,LSTM,0.008762121583851432,0.09360620483627906,0.7794914334349421,37.15418130903784,Continuous
8,3,SimpleRNN,0.03734062750202167,0.19323723114871438,0.06028144367618837,10.67191651611091,Continuous
8,3,GRU,0.0016812303273786586,0.04100280877426153,0.957689962869356,41.782087694968965,Continuous
8,3,LSTM,0.05153490495381055,0.2270130061335926,-0.296933386586975,7.83747490084145,Discrete
8,3,SimpleRNN,0.011169872891882223,0.10568761938790287,0.7188976851631177,33.235759139295865,Discrete
8,3,GRU,0.0032285426922310234,0.05682026656247772,0.9187501206933689,39.50603479133122,Discrete
8,5,LSTM,0.005772954866564784,0.07597996358622965,0.8546834039075694,38.00534932124157,Continuous
8,5,SimpleRNN,0.0008895399905341019,0.029825157007702437,0.977608533844397,44.83545024030324,Continuous
8,5,GRU,0.002456286821046613,0.04956094047782601,0.9381704433671436,40.37178336684972,Continuous
8,5,LSTM,0.006893368949300771,0.08302631480019314,0.8264803840537003,37.62361817902477,Discrete
8,5,SimpleRNN,0.017116994007948298,0.1308319303837878,0.5691316904319219,22.211332854141283,Discrete
8,5,GRU,0.0027199211476746843,0.052152863273982226,0.9315342503179663,40.0353123016033,Discrete
8,8,LSTM,0.003491619312169733,0.05908992564024542,0.912020786977527,39.27845978856711,Continuous
8,8,SimpleRNN,0.0019633893853161382,0.04431014991304067,0.9505279821386227,41.17290688047978,Continuous
8,8,GRU,0.004168891696894372,0.06456695514653275,0.8949553837698387,38.79425134070209,Continuous
8,8,LSTM,0.008536560665478681,0.09239350986664963,0.7849021264575639,37.20272439017692,Discrete
8,8,SimpleRNN,0.009908239271071154,0.09954013899463449,0.7503395944486555,36.932179381366694,Discrete
8,8,GRU,0.0026930916672055615,0.051895006187547194,0.9321414895798332,40.067272783952916,Discrete
8,14,LSTM,0.01164096862535992,0.1078933205780595,0.705148907631334,31.959022563825943,Continuous
8,14,SimpleRNN,0.0006586213321870105,0.025663618844329234,0.9833179501206119,46.649661313596894,Continuous
8,14,GRU,0.010603886502257494,0.10297517420357925,0.7314168932873224,34.91584699280981,Continuous
8,14,LSTM,0.003895252764869956,0.0624119601107829,0.9013381472163823,38.97463605060908,Discrete
8,14,SimpleRNN,0.06241674416593777,0.2498334328426397,-0.580937617109444,6.481023719067061,Discrete
8,14,GRU,0.0022708068568953366,0.0476529837145098,0.942483318711535,40.642509386175774,Discrete
8,21,LSTM,0.015085117803944914,0.1228214875497969,0.6124793665591641,25.0149590181033,Continuous
8,21,SimpleRNN,0.0008349921094717162,0.02889623002178167,0.9785499407173366,45.19504682098281,Continuous
8,21,GRU,0.006234555723815999,0.07895920290767884,0.8398408938720021,37.83486968916579,Continuous
8,21,LSTM,0.003934594522850284,0.06272634632154406,0.8989244511283133,38.947062961514305,Discrete
8,21,SimpleRNN,0.002835962588253186,0.05325375656470806,0.9271471371388966,39.90172171651264,Discrete
8,21,GRU,0.006501170590168393,0.08062983684820646,0.8329918414989006,37.74511619185085,Discrete
8,55,LSTM,0.005756824086814192,0.07587373779387827,0.8407447150866639,38.00684520975277,Continuous
8,55,SimpleRNN,0.0007415351266829291,0.027231142588641576,0.9794863650352587,45.900715568922934,Continuous
