Window,Timesteps,Model,MSE,RMSE,R-Squared,Aggregate Metrics,Data_Type
8,5,SimpleRNN,0.003495487,0.059122647,0.844291851,39.25276136,Discrete
14,3,SimpleRNN,0.003497756,0.059141826,0.84398806,39.25083182,Continuous
21,21,GRU,0.003566211,0.059717763,0.843102114,39.1961795,Discrete
55,8,GRU,0.003614166,0.060117936,0.8405223,39.1581644,Continuous
55,14,GRU,0.003651654,0.060428919,0.839762975,39.12937705,Continuous
5,3,SimpleRNN,0.003693622,0.060775178,0.834812126,39.09629938,Continuous
14,21,SimpleRNN,0.003713945,0.060942142,0.836119503,39.0817086,Discrete
21,3,GRU,0.003756425,0.061289681,0.833089266,39.04968315,Discrete
3,55,LSTM,0.003780309,0.061484219,0.830260976,39.03153238,Discrete
21,14,GRU,0.003847767,0.062030375,0.829799254,38.98364452,Continuous
3,55,GRU,0.003872006,0.062225449,0.826143691,38.96557966,Discrete
8,5,LSTM,0.00388547,0.062333541,0.826919875,38.95654902,Discrete
55,14,LSTM,0.003967721,0.062989847,0.82589376,38.90048933,Continuous
8,3,GRU,0.004006709,0.063298574,0.821044702,38.873063,Continuous
55,8,SimpleRNN,0.004029122,0.063475364,0.822212087,38.85878526,Continuous
55,5,SimpleRNN,0.004030934,0.063489634,0.821687935,38.85743023,Discrete
21,55,SimpleRNN,0.004084805,0.063912481,0.815223458,38.82053988,Continuous
8,21,GRU,0.004125991,0.064233879,0.817745077,38.79528452,Continuous
5,3,GRU,0.004146705,0.064394915,0.814549146,38.78124188,Continuous
21,21,LSTM,0.004169141,0.064568886,0.816575805,38.76797042,Continuous
3,21,GRU,0.004190901,0.064737172,0.814611609,38.75389577,Continuous
21,55,LSTM,0.004195876,0.064775581,0.810199168,38.74937186,Discrete
55,3,LSTM,0.004269648,0.065342546,0.811284148,38.70508287,Continuous
3,55,SimpleRNN,0.004274016,0.065375959,0.808093127,38.70141195,Continuous
55,5,LSTM,0.004282029,0.065437217,0.810580483,38.69746801,Discrete
5,8,GRU,0.004328014,0.065787644,0.807691621,38.66937146,Discrete
8,14,LSTM,0.004335417,0.065843881,0.808421503,38.66528721,Continuous
5,8,LSTM,0.00436974,0.066104006,0.805837613,38.64450459,Discrete
5,3,LSTM,0.004393015,0.066279825,0.803533549,38.63036028,Continuous
5,5,LSTM,0.004401838,0.066346351,0.803662857,38.6253606,Continuous
