Window,Timesteps,Model,MSE,RMSE,R-Squared,Aggregate Metrics,Data_Type
3,3,LSTM,0.018062821836441867,0.13439799788851717,0.18622685399111205,20.996383080408798,Continuous
3,3,SimpleRNN,0.0012777645138005202,0.035745832117892014,0.9424336652562147,42.972574370547875,Continuous
3,3,GRU,0.0025409158302159107,0.050407497757931914,0.8855256898605439,40.24128142763482,Continuous
3,3,LSTM,0.019312340638851205,0.13896884772801135,0.12993305582152292,19.70205097539097,Discrete
3,3,SimpleRNN,0.0039011134404608066,0.06245889400606455,0.8242455477816579,38.94492520260216,Discrete
3,3,GRU,0.00124430051664103,0.03527464410367637,0.9439412980332579,43.09763872982816,Discrete
3,5,LSTM,0.00881073204428856,0.09386549975517394,0.5989926441026705,37.08417805847474,Continuous
3,5,SimpleRNN,0.0009113374775675294,0.03018836659323471,0.9585218310609733,44.69462163231971,Continuous
3,5,GRU,0.0009355411957907637,0.030586617920109502,0.9574202348486728,44.550485548949645,Continuous
3,5,LSTM,0.007331882039771294,0.08562640970968767,0.6663003010713836,37.44831338116792,Discrete
3,5,SimpleRNN,0.003717859611853729,0.06097425368017004,0.8307871530932115,39.077050630462104,Discrete
3,5,GRU,0.0030634428214038906,0.05534837686331814,0.8605719593356418,39.642649706545264,Discrete
3,8,LSTM,0.0021072975350410637,0.04590531053201866,0.9028616556259677,40.895611223764334,Continuous
3,8,SimpleRNN,0.0020805101984396916,0.045612610081420375,0.9040964492345487,40.94261942736361,Continuous
3,8,GRU,0.001195019472628592,0.03456905368430834,0.9449141798271934,43.29084039962463,Continuous
3,8,LSTM,0.002953175741267538,0.05434312966022051,0.8638699104506407,39.75515335669961,Discrete
3,8,SimpleRNN,0.0053043859752025775,0.07283121566473114,0.7554881249638178,38.161954819931616,Discrete
3,8,GRU,0.0010486683831505274,0.03238314967927807,0.9516604044551067,43.943972627024706,Discrete
3,14,LSTM,0.004013817295726414,0.0633546943464051,0.8091113872905079,38.86442046891319,Continuous
3,14,SimpleRNN,0.0008204138045637819,0.02864286655633095,0.9609828645744191,45.291229865001185,Continuous
3,14,GRU,0.0036267807179304976,0.0602227591358159,0.8275180236568304,39.144178677541795,Continuous
3,14,LSTM,0.011912034069401119,0.10914226527519538,0.4334889979976869,31.181520427044816,Discrete
3,14,SimpleRNN,0.0024318496081723634,0.049313787201677825,0.8843464054738117,40.38755034965554,Discrete
3,14,GRU,0.003920095261717256,0.062610664121356,0.8135686078698722,38.92842955533381,Discrete
3,21,LSTM,0.018401226594541506,0.13565112087462272,0.10759318749980262,20.607882879490575,Continuous
3,21,SimpleRNN,0.0012703167331002563,0.03564150295793173,0.9383932749902693,42.99852382680628,Continuous
3,21,GRU,0.0011629765919175293,0.034102442609254977,0.9435989645541711,43.42233723413446,Continuous
3,21,LSTM,0.21706874617124336,0.46590637060598705,-9.527212784910569,-0.9246744387699746,Discrete
3,21,SimpleRNN,0.00736597551582227,0.0858252615249279,0.6427712741182493,37.431450810456454,Discrete
3,21,GRU,0.002290302904644691,0.04785710923828027,0.8889268655927424,40.59482131080885,Discrete
3,55,LSTM,0.013048080382440132,0.11422819434115263,0.3439389648639939,28.579323670908167,Continuous
3,55,SimpleRNN,0.0035875420488920323,0.05989609376989481,0.8196174087525128,39.17173232921452,Continuous
3,55,GRU,0.000723293674876211,0.026894119708148305,0.963632597045829,46.04882729697965,Continuous
3,55,LSTM,0.018993648388984524,0.1378174458803548,0.04499418628227514,19.98338297649945,Discrete
3,55,SimpleRNN,0.0039361882032692645,0.06273904847277542,0.8020873851603268,38.9137080489447,Discrete
3,55,GRU,0.000810301084280395,0.028465787961698776,0.9592578408054375,45.363049281933606,Discrete
5,3,LSTM,0.004822678138698357,0.06944550481275485,0.7887143637891494,38.39616482972454,Continuous
5,3,SimpleRNN,0.000938389748134134,0.030633147865247772,0.9588883460089723,44.53442148156707,Continuous
