Window,Timesteps,Model,MSE,RMSE,R-Squared,Aggregate Metrics,Data_Type
21,14,SimpleRNN,0.00096927,0.031133097,0.949736889,44.35663163,Discrete
14,55,SimpleRNN,0.000942702,0.030703454,0.949702471,44.50644262,Discrete
5,5,LSTM,0.001587024,0.039837465,0.948988213,42.01699561,Discrete
8,55,GRU,0.001052888,0.032448237,0.948442725,43.92225254,Discrete
21,5,SimpleRNN,0.001033522,0.032148435,0.948094704,44.0179361,Discrete
3,5,SimpleRNN,0.001718325,0.04145268,0.947085777,41.69032619,Continuous
21,3,GRU,0.001064973,0.032633924,0.947057822,43.86333893,Discrete
55,8,GRU,0.000754077,0.027460465,0.946114435,45.78736784,Discrete
8,8,SimpleRNN,0.001396283,0.037366876,0.945736083,42.56913533,Discrete
14,5,SimpleRNN,0.00130708,0.036153556,0.944768693,42.86818847,Continuous
14,3,SimpleRNN,0.001344782,0.036671267,0.94372398,42.7376766,Continuous
5,5,LSTM,0.001757883,0.041927113,0.943496279,41.59813712,Continuous
3,5,LSTM,0.001836471,0.042854067,0.943447566,41.42615181,Continuous
5,21,GRU,0.001696819,0.041192458,0.943202583,41.73983037,Discrete
55,3,SimpleRNN,0.000794629,0.028189157,0.942724057,45.47245244,Continuous
8,55,SimpleRNN,0.001224273,0.034989619,0.940050419,43.17331861,Discrete
21,14,GRU,0.001161433,0.034079797,0.939771963,43.42755664,Continuous
21,21,LSTM,0.001181553,0.034373723,0.937621789,43.34320385,Discrete
21,8,SimpleRNN,0.001235127,0.035144369,0.937164316,43.13040821,Continuous
8,8,LSTM,0.001619112,0.040238192,0.937076269,41.92969593,Continuous
3,3,LSTM,0.002086631,0.045679654,0.936392204,40.94265885,Continuous
14,21,GRU,0.001384798,0.037212869,0.935809197,42.60274452,Discrete
55,3,GRU,0.00093093,0.030511144,0.932899607,44.56926983,Continuous
5,3,LSTM,0.002158036,0.046454663,0.930947813,40.81910412,Continuous
14,55,LSTM,0.001311634,0.036216494,0.93001822,42.84724895,Continuous
5,8,LSTM,0.002168905,0.046571503,0.929866869,40.80074167,Discrete
8,14,GRU,0.001889115,0.04346395,0.925448551,41.3110072,Discrete
3,14,GRU,0.002345836,0.04843383,0.925300302,40.52400863,Continuous
14,21,GRU,0.001611702,0.040146002,0.92529131,41.94479054,Continuous
8,21,SimpleRNN,0.001877101,0.043325523,0.923960089,41.33501435,Discrete
3,5,GRU,0.002528409,0.050283288,0.922139973,40.269821,Discrete
55,14,SimpleRNN,0.001102695,0.033206846,0.922051721,43.67877475,Continuous
14,14,GRU,0.00177382,0.042116741,0.921170497,41.55489935,Discrete
55,3,GRU,0.001101856,0.033194218,0.920579437,43.68210263,Discrete
5,14,SimpleRNN,0.002454237,0.049540259,0.919716091,40.36843967,Continuous
14,5,LSTM,0.001949274,0.044150583,0.917632445,41.18912999,Continuous
3,8,GRU,0.00262866,0.051270464,0.917574502,40.14066055,Discrete
3,14,GRU,0.002592852,0.050920059,0.917434425,40.18535353,Discrete
5,55,GRU,0.002129162,0.046142843,0.916812957,40.86288212,Discrete
14,8,GRU,0.0019772,0.044465719,0.915387948,41.1348742,Continuous
8,3,LSTM,0.002233185,0.047256587,0.914571784,40.69188101,Continuous
21,55,GRU,0.001500779,0.038739885,0.912205846,42.24179856,Discrete
5,8,GRU,0.002720832,0.052161597,0.912019896,40.02773735,Continuous
5,8,GRU,0.002733747,0.052285251,0.911602272,40.01248496,Discrete
5,55,SimpleRNN,0.002314773,0.04811209,0.909561064,40.56478582,Discrete
21,55,LSTM,0.001564178,0.039549686,0.908497066,42.06438268,Continuous
21,55,SimpleRNN,0.001588307,0.039853571,0.907085512,41.99964655,Continuous
14,8,SimpleRNN,0.002172426,0.046609289,0.907033489,40.78732813,Continuous
3,21,SimpleRNN,0.002906627,0.053913144,0.906236366,39.81819628,Discrete
3,3,GRU,0.00317955,0.056387495,0.903076223,39.54583496,Discrete
8,5,GRU,0.002523538,0.050234831,0.902981837,40.26982957,Continuous
14,14,LSTM,0.002218159,0.047097335,0.901423829,40.71134922,Discrete
14,21,LSTM,0.002165939,0.046539648,0.899600234,40.79555185,Continuous
14,3,LSTM,0.002453953,0.049537388,0.897307732,40.36136022,Discrete
3,5,SimpleRNN,0.003495158,0.05911986,0.892369835,39.26905314,Discrete
3,8,GRU,0.003484207,0.059027174,0.89074758,39.27736581,Continuous
3,21,LSTM,0.003490889,0.059083746,0.887388913,39.27083921,Discrete
8,5,LSTM,0.003015104,0.054909961,0.884083453,39.6985718,Continuous
3,21,GRU,0.003603775,0.060031448,0.883747381,39.18056105,Discrete
5,14,SimpleRNN,0.003686703,0.060718227,0.879399218,39.11630611,Discrete
55,5,SimpleRNN,0.001706466,0.041309399,0.877395852,41.69498718,Discrete
14,8,GRU,0.00299457,0.054722666,0.871850747,39.71527139,Discrete
55,21,GRU,0.001850619,0.043018819,0.870880108,41.37217358,Continuous
55,3,LSTM,0.001803904,0.042472389,0.86997662,41.47156162,Continuous
21,3,LSTM,0.002626391,0.051248327,0.869436259,40.12742278,Discrete
55,55,SimpleRNN,0.001965027,0.044328628,0.868157528,41.14231425,Continuous
21,55,GRU,0.002331129,0.048281768,0.863631119,40.52512766,Continuous
55,5,LSTM,0.001917772,0.043792379,0.862214195,41.23241257,Discrete
3,5,GRU,0.004478362,0.066920563,0.862092977,38.60172765,Continuous
8,5,SimpleRNN,0.003600302,0.060002518,0.861585332,39.17585087,Discrete
